district,chiefdom,section,type_of_water_point
Port Loko,Marampa,Marampa A,2:Protected dug well
South,Bo,Kakua,9:Unprotected dug well
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
North,Koinadugu,Nieni,2:Protected dug well
Kambia,Masungbala,Barmoi,2:Protected dug well
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
East,Kono,Koidu City,OTHER:Protected Shallow Well
South,Bo,Bo Town,9:Unprotected dug well
East,Kono,Kamara,2:Protected dug well
NA,NA,NA,NA
NA,NA,NA,NA
Kenema,Kenema City,Gbo Kakajama A-Lumbebu,2:Protected dug well
East,Kono,Soa,6:Public tap/standpipe (stand-alone or water kiosk
Western Urban,West I,Brookfields,6:Public tap/standpipe (stand-alone or water kiosk
South,Bo,Bo Town,9:Unprotected dug well
Kenema,Gaura,Kokoru,6:Public tap/standpipe (stand-alone or water kiosk
Kenema,Kenema City,Gbo Lambayama A-Ndigbuama,2:Protected dug well
Western Urban,East III,Pamuronko,2:Protected dug well
South,Bo,Bo Town,9:Unprotected dug well
North,Koinadugu,Wara Wara Yagala,2:Protected dug well
NA,NA,NA,NA
Port Loko,Koya,Roponka,2:Protected dug well
NA,NA,NA,NA
Western Urban,East III,Thunderhill,3:Tube well or borehole
NA,NA,NA,NA
North,Bombali,Makari Gbanti,2:Protected dug well
Western Urban,West I,Ascension Town,2:Protected dug well
Kenema,Nongowa,Kona Kpindibu,6:Public tap/standpipe (stand-alone or water kiosk
East,Kenema,Dama,2:Protected dug well
East,Kono,Lei,11:Dam/pan (runoff harvesting)
Port Loko,Maforki,Gbonko Mayira,2:Protected dug well
Port Loko,Koya,Magbeni,2:Protected dug well
NA,NA,NA,NA
North,Koinadugu,Nieni,2:Protected dug well
Western Urban,East III,Grass Field,6:Public tap/standpipe (stand-alone or water kiosk
Tonkolili,Kalansogoia,Bumbuna,1:Protected spring
Kenema,Kenema City,Gbo Kakajama A-Airfield,6:Public tap/standpipe (stand-alone or water kiosk
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
West,Western Urban,East III,7:Piped water into dwelling/plot/yard
South,Pujehun,Barri,2:Protected dug well
Kenema,Gaura,Sandaru,7:Piped water into dwelling/plot/yard
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
East,Kailahun,Jawie,6:Public tap/standpipe (stand-alone or water kiosk
East,Kailahun,Yawei,2:Protected dug well
East,Kono,Koidu City,2:Protected dug well
East,Kailahun,Kissi Tongi,2:Protected dug well
Kenema,Small Bo,Fallay,6:Public tap/standpipe (stand-alone or water kiosk
North,Port Loko,Kaffu Bullom,2:Protected dug well
South,Bo,Kakua,9:Unprotected dug well
Kenema,Kenema City,Gbo Lambayama A-Kondebotihun,2:Protected dug well
Tonkolili,Yoni,Yoni,6:Public tap/standpipe (stand-alone or water kiosk
Bo,Bo Town,East Ward-Gbondo Town,9:Unprotected dug well
Kambia,Masungbala,Kawula,2:Protected dug well
East,Kailahun,Upper Bambara,2:Protected dug well
Kailahun,Luawa,Luawa Foguiya,12:Surface water (lake/river/stream)
Western Urban,East III,Kissy Bye Pass(Term),6:Public tap/standpipe (stand-alone or water kiosk
North,Tonkolili,Kholifa Rowala,2:Protected dug well
East,Kono,Gbense,9:Unprotected dug well
Kambia,Masungbala,Kawula,2:Protected dug well
Koinadugu,Sengbe,Bilimaia,2:Protected dug well
West,Western Rural,Mountain Rural,7:Piped water into dwelling/plot/yard
NA,NA,NA,NA
Koinadugu,Sengbe,Bilimaia,2:Protected dug well
North,Port Loko,Lokomasama,2:Protected dug well
South,Bo,Bumpe Ngao,1:Protected spring
NA,NA,NA,NA
Port Loko,Koya,Foredugu,6:Public tap/standpipe (stand-alone or water kiosk
NA,NA,NA,NA
Western Urban,Central I,Mountain Regent,2:Protected dug well
Western Urban,East III,Mayenkineh,6:Public tap/standpipe (stand-alone or water kiosk
Western Rural,Koya Rural,Newton,7:Piped water into dwelling/plot/yard
Western Urban,West III,Aberdeen,7:Piped water into dwelling/plot/yard
East,Kailahun,Dea,2:Protected dug well
North,Koinadugu,Nieni,3:Tube well or borehole
North,Port Loko,TMS,2:Protected dug well
NA,NA,NA,NA
Kenema,Gaura,Sembehun,7:Piped water into dwelling/plot/yard
Moyamba,Kaiyamba,Mosoe,3:Tube well or borehole
Port Loko,Maforki,Old Port Loko,2:Protected dug well
Kambia,Bramaia,Kukuna,OTHER:Hand pump
South,Bo,Bo Town,9:Unprotected dug well
Kenema,Lower Bambara,Nyawa,2:Protected dug well
Kenema,Lower Bambara,Bonya,5:Sand/Sub-surface dam (with well or standpipe)
Port Loko,Kaffu Bullom,Rosint,2:Protected dug well
Port Loko,Maforki,Sendugu,2:Protected dug well
Kenema,Tunkia,Daru,2:Protected dug well
Port Loko,Koya,Mahera,2:Protected dug well
South,Pujehun,Makpele,2:Protected dug well
North,Bombali,Safroko Limba,2:Protected dug well
South,Bonthe,Bum,2:Protected dug well
South,Bonthe,Jong,2:Protected dug well
South,Bo,Bo Town,9:Unprotected dug well
South,Bonthe,Jong,2:Protected dug well
Bombali,Paki Masabong,Rosanda,2:Protected dug well
NA,NA,NA,NA
Kailahun,Luawa,Mofindor,2:Protected dug well
Koinadugu,Sengbe,Yogomaia,6:Public tap/standpipe (stand-alone or water kiosk
Western Rural,Koya Rural,Newton,2:Protected dug well
Port Loko,Koya,Fondu,2:Protected dug well
NA,NA,NA,NA
Western Urban,East III,Kissy Mess Mess,6:Public tap/standpipe (stand-alone or water kiosk
Kenema,Kenema City,Gbo Lambayama A-Reservation,9:Unprotected dug well
East,Kailahun,Kpeje West,9:Unprotected dug well
Tonkolili,Kalansogoia,Bumbuna,3:Tube well or borehole
North,Bombali,Gbendembu Ngowahun,2:Protected dug well
